session_id,file_name,haptic_experience,event,checkboxId,checkboxLabel,action,timestamp,finalChoice,finalTime
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,checkbox,reject-ads,Decline personalised advertising,unchecked,2026-06-03T11:32:27.542Z,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,checkbox,reject-sharing,Decline partner data sharing,checked,2026-06-03T11:32:32.173Z,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,checked,2026-06-03T11:32:32.417Z,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,checkbox,reject-ads,Decline personalised advertising,checked,2026-06-03T11:32:32.712Z,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,final,,,,,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,final-state,reject-ads,Decline personalised advertising,declined,,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,final-state,reject-analytics,Decline analytics tracking,declined,,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_32_33_470Z,consent_behaviour_2026_06_03T11_32_33_470Z.csv,True,final-state,reject-sharing,Decline partner data sharing,declined,,preferences,2026-06-03T11:32:33.466Z
consent_behaviour_2026_06_03T11_45_39_330Z,consent_behaviour_2026_06_03T11_45_39_330Z.csv,True,checkbox,reject-ads,Decline personalised advertising,checked,2026-06-03T11:45:34.415Z,preferences,2026-06-03T11:45:39.326Z
consent_behaviour_2026_06_03T11_45_39_330Z,consent_behaviour_2026_06_03T11_45_39_330Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,checked,2026-06-03T11:45:36.354Z,preferences,2026-06-03T11:45:39.326Z
consent_behaviour_2026_06_03T11_45_39_330Z,consent_behaviour_2026_06_03T11_45_39_330Z.csv,True,checkbox,reject-sharing,Decline partner data sharing,checked,2026-06-03T11:45:37.353Z,preferences,2026-06-03T11:45:39.326Z
consent_behaviour_2026_06_03T11_45_39_330Z,consent_behaviour_2026_06_03T11_45_39_330Z.csv,True,final,,,,,preferences,2026-06-03T11:45:39.326Z
consent_behaviour_2026_06_03T11_45_39_330Z,consent_behaviour_2026_06_03T11_45_39_330Z.csv,True,final-state,reject-ads,Decline personalised advertising,declined,,preferences,2026-06-03T11:45:39.326Z
consent_behaviour_2026_06_03T11_45_39_330Z,consent_behaviour_2026_06_03T11_45_39_330Z.csv,True,final-state,reject-analytics,Decline analytics tracking,declined,,preferences,2026-06-03T11:45:39.326Z
consent_behaviour_2026_06_03T11_45_39_330Z,consent_behaviour_2026_06_03T11_45_39_330Z.csv,True,final-state,reject-sharing,Decline partner data sharing,declined,,preferences,2026-06-03T11:45:39.326Z
