"event","checkboxId","checkboxLabel","action","timestamp","finalChoice","finalTime"
"checkbox","reject-ads","Decline personalised advertising","checked","2026-06-02T12:32:45.882Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-analytics","Decline analytics tracking","checked","2026-06-02T12:32:46.740Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-sharing","Decline partner data sharing","checked","2026-06-02T12:32:47.413Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-analytics","Decline analytics tracking","unchecked","2026-06-02T12:32:49.534Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-analytics","Decline analytics tracking","checked","2026-06-02T12:32:50.149Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-analytics","Decline analytics tracking","unchecked","2026-06-02T12:32:51.451Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-analytics","Decline analytics tracking","checked","2026-06-02T12:32:51.725Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-analytics","Decline analytics tracking","unchecked","2026-06-02T12:32:52.662Z","preferences","2026-06-02T12:32:58.706Z"
"checkbox","reject-analytics","Decline analytics tracking","checked","2026-06-02T12:32:52.970Z","preferences","2026-06-02T12:32:58.706Z"
"final","","","","","preferences","2026-06-02T12:32:58.706Z"
"final-state","reject-ads","Decline personalised advertising","declined","","preferences","2026-06-02T12:32:58.706Z"
"final-state","reject-analytics","Decline analytics tracking","declined","","preferences","2026-06-02T12:32:58.706Z"
"final-state","reject-sharing","Decline partner data sharing","declined","","preferences","2026-06-02T12:32:58.706Z"
